iter	Passed	Remaining
0	2	2471
1	4	2310
2	6	2233
3	8	2151
4	10	2187
5	12	2147
6	15	2134
7	17	2135
8	19	2095
9	20	2060
10	22	2030
11	24	2045
12	26	2044
13	29	2057
14	31	2060
15	33	2049
16	35	2039
17	37	2069
18	40	2070
19	42	2073
20	44	2074
21	46	2075
22	48	2062
23	50	2050
24	52	2051
25	54	2045
26	56	2043
27	58	2047
28	60	2027
29	62	2025
30	65	2034
31	67	2034
32	69	2029
33	71	2023
34	73	2012
35	74	2003
36	76	1994
37	78	1990
38	80	1995
39	82	1981
40	84	1978
41	86	1969
42	88	1962
43	90	1955
44	92	1956
45	94	1959
46	96	1952
47	98	1946
48	99	1940
49	101	1933
50	103	1927
51	105	1926
52	108	1936
53	110	1933
54	112	1933
55	114	1928
56	116	1924
57	118	1924
58	119	1912
59	122	1913
60	124	1914
61	126	1914
62	128	1914
63	131	1916
64	133	1917
65	135	1922
66	138	1922
67	140	1922
68	142	1921
69	144	1919
70	146	1920
71	148	1919
72	151	1918
73	153	1918
74	156	1927
75	159	1933
76	161	1935
77	163	1934
78	165	1934
79	168	1933
80	171	1940
81	173	1939
82	175	1941
83	177	1940
84	180	1938
85	182	1936
86	184	1934
87	186	1934
88	189	1937
89	191	1935
90	193	1933
91	195	1932
92	197	1929
93	199	1924
94	201	1920
95	204	1921
96	205	1916
97	206	1903
98	208	1902
99	211	1901
100	213	1899
101	214	1891
102	217	1890
103	219	1889
104	221	1888
105	223	1887
106	225	1883
107	227	1880
108	230	1880
109	231	1876
110	234	1874
111	236	1873
112	238	1869
113	239	1864
114	241	1860
115	244	1860
116	246	1859
117	248	1859
118	250	1858
119	253	1857
120	255	1856
121	258	1857
122	260	1854
123	262	1853
124	264	1852
125	266	1851
126	269	1849
127	271	1850
128	273	1849
129	276	1848
130	278	1846
131	280	1845
132	283	1844
133	285	1844
134	287	1844
135	290	1842
136	292	1841
137	294	1839
138	296	1838
139	299	1837
140	301	1835
141	303	1835
142	306	1834
143	310	1847
144	313	1848
145	315	1846
146	317	1845
147	320	1843
148	322	1842
149	325	1841
150	327	1840
151	329	1838
152	331	1837
153	334	1835
154	336	1834
155	339	1836
156	341	1835
157	344	1834
158	346	1833
159	348	1831
160	351	1830
161	353	1829
162	355	1827
163	358	1825
164	360	1823
165	362	1821
166	365	1821
167	367	1819
168	369	1816
169	370	1810
170	373	1808
171	374	1805
172	377	1803
173	379	1800
174	381	1798
175	383	1796
176	386	1795
177	388	1793
178	390	1791
179	393	1791
180	395	1788
181	397	1786
182	399	1784
183	401	1782
184	404	1780
185	406	1777
186	408	1774
187	410	1772
188	412	1771
189	415	1769
190	417	1767
191	419	1767
192	422	1765
193	424	1763
194	426	1762
195	428	1758
196	430	1756
197	433	1755
198	435	1753
199	437	1751
200	440	1750
201	442	1747
202	444	1744
203	446	1743
204	447	1737
205	450	1735
206	451	1729
207	453	1727
208	455	1725
209	458	1723
210	461	1723
211	463	1722
212	465	1720
213	467	1717
214	469	1714
215	471	1712
216	473	1710
217	476	1707
218	478	1706
219	480	1704
220	482	1702
221	485	1700
222	487	1697
223	489	1695
224	491	1692
225	493	1689
226	494	1683
227	496	1680
228	498	1676
229	500	1674
230	502	1671
231	504	1668
232	506	1666
233	508	1663
234	510	1661
235	512	1658
236	514	1655
237	516	1652
238	517	1649
239	519	1646
240	521	1642
241	523	1640
242	525	1636
243	527	1635
244	529	1631
245	531	1629
246	533	1627
247	535	1624
248	537	1621
249	539	1619
250	541	1616
